Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Amani Toomer,33,WR,4,4,0,0,0,0,,,,0.0,0.0,26,21,280,13.3,3,15,73.1,52,5.3,70.0,80.8,10.8,21,13.3,280,3,0,,ToomAm00
2,Ahmad Bradshaw,21,RB,4,0,48,208,1,9,50.0,13,4.3,52.0,12.0,6,4,27,6.8,0,1,33.3,9,1.0,6.8,66.7,4.5,52,4.5,235,1,0,,BradAh00
3,Brandon Jacobs,25,RB,4,4,62,197,3,10,43.5,12,3.2,49.3,15.5,5,4,29,7.3,1,2,40.0,11,1.0,7.3,80.0,5.8,66,3.4,226,4,1,,JacoBr00
4,Plaxico Burress,30,WR,4,4,0,0,0,0,,,,0.0,0.0,30,18,221,12.3,1,13,56.7,32,4.5,55.3,60.0,7.4,18,12.3,221,1,1,,BurrPl00
5,Steve Smith,22,WR,4,0,0,0,0,0,,,,0.0,0.0,26,14,152,10.9,0,9,42.3,22,3.5,38.0,53.8,5.8,14,10.9,152,0,0,,SmitSt02
6,Kevin Boss,23,TE,4,4,0,0,0,0,,,,0.0,0.0,12,5,90,18.0,0,4,33.3,45,1.3,22.5,41.7,7.5,5,18.0,90,0,0,,BossKe00
7,David Tyree,27,WR,3,0,0,0,0,0,,,,0.0,0.0,8,4,47,11.8,1,2,25.0,32,1.3,15.7,50.0,5.9,4,11.8,47,1,0,,TyreDa00
8,Eli Manning,26,QB,3,3,8,10,0,2,37.5,5,1.3,3.3,2.7,0,0,0,,0,0,,,0.0,0.0,,,8,1.3,10,0,2,SB MVP,MannEl00
9,Madison Hedgecock,26,FB,2,1,0,0,0,0,,,,0.0,0.0,2,2,8,4.0,0,0,0.0,5,1.0,4.0,100.0,4.0,2,4.0,8,0,0,,HedgMa00
10,Michael Matthews,24,TE,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,MattMi00
,Team Totals,,,4,4,118,415,4,21,45.8,13,3.5,103.8,29.5,116,72,854,11.9,6,46,49.1,52,18.0,213.5,62.1,7.4,190,6.7,1269,10,4,,-9999